"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
0.5 80 "EXP" 0.2 66 420 "EXP" FALSE ""
0.5 60 "EXP" 0 97 421 "EXP" FALSE ""
0.1 80 "LIN" 0.1 9 422 "LIN" FALSE ""
1.3 40 "EXP" 0.1 82 423 "LIN" FALSE ""
2 100 "LIN" 0 50 424 "LIN" FALSE ""
0.1 40 "EXP" 0 39 425 "LIN" FALSE ""
2 100 "EXP" 0 66 426 "LIN" FALSE ""
1.5 80 "EXP" 0.2 48 427 "EXP" FALSE ""
1.3 80 "EXP" 0.2 71 428 "EXP" FALSE ""
0.9 100 "EXP" 0.1 27 429 "LIN" FALSE ""
0.1 20 "LIN" 0.1 96 430 "LIN" FALSE ""
2 20 "EXP" 0.1 46 431 "EXP" FALSE ""
2.5 80 "EXP" 0.2 82 432 "EXP" FALSE ""
0.1 60 "LIN" 0 40 433 "LIN" FALSE ""
0.5 200 "LIN" 0.1 62 434 "LIN" FALSE ""
0.9 200 "EXP" 0.1 70 435 "EXP" FALSE ""
0.1 80 "LIN" 0 55 436 "LIN" FALSE ""
2.5 200 "EXP" 0.2 37 437 "LIN" FALSE ""
1.5 60 "EXP" 0.1 94 438 "EXP" FALSE ""
2 100 "LIN" 0.1 45 439 "LIN" FALSE ""
0.9 40 "LIN" 0 58 440 "LIN" FALSE ""
1.3 100 "EXP" 0 11 441 "LIN" FALSE ""
1.5 40 "LIN" 0.1 45 442 "LIN" FALSE ""
2 20 "EXP" 0.1 62 443 "EXP" FALSE ""
2 80 "EXP" 0 83 444 "EXP" FALSE ""
1.3 60 "LIN" 0.1 51 445 "LIN" FALSE ""
0.1 40 "EXP" 0.2 9 446 "EXP" FALSE ""
