"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
0.5 100 "LIN" 0.1 83 346 "LIN" FALSE ""
1.3 100 "LIN" 0.2 84 347 "LIN" FALSE ""
1.5 40 "EXP" 0.2 12 348 "LIN" FALSE ""
0.1 60 "LIN" 0.2 89 349 "LIN" FALSE ""
1.5 40 "EXP" 0 60 350 "EXP" FALSE ""
2 20 "LIN" 0.2 72 351 "EXP" FALSE ""
2.5 40 "LIN" 0.1 73 352 "LIN" FALSE ""
0.9 200 "LIN" 0 52 353 "LIN" FALSE ""
2.5 100 "LIN" 0.1 64 354 "LIN" FALSE ""
0.5 60 "LIN" 0.2 30 355 "LIN" FALSE ""
0.5 60 "EXP" 0.1 57 356 "EXP" FALSE ""
1.3 60 "LIN" 0.2 68 357 "LIN" FALSE ""
0.9 200 "LIN" 0 1 358 "LIN" FALSE ""
1.3 200 "EXP" 0.1 42 359 "EXP" FALSE ""
1.5 100 "EXP" 0.1 12 360 "EXP" FALSE ""
1.5 80 "LIN" 0.2 42 361 "EXP" FALSE ""
2.5 100 "LIN" 0 61 362 "LIN" FALSE ""
0.5 100 "LIN" 0.1 65 363 "LIN" FALSE ""
2.5 40 "LIN" 0.2 21 364 "EXP" FALSE ""
2.5 100 "EXP" 0.2 7 365 "LIN" FALSE ""
2 80 "LIN" 0 38 366 "EXP" FALSE ""
0.9 40 "LIN" 0 41 367 "LIN" FALSE ""
1.5 20 "LIN" 0.2 44 368 "LIN" FALSE ""
2.5 100 "LIN" 0.1 88 369 "EXP" FALSE ""
2.5 200 "LIN" 0 32 370 "LIN" FALSE ""
0.1 80 "EXP" 0.1 94 371 "EXP" FALSE ""
0.1 20 "EXP" 0.2 78 372 "EXP" FALSE ""
1.5 40 "EXP" 0.1 80 373 "EXP" FALSE ""
0.5 100 "EXP" 0.2 86 374 "EXP" FALSE ""
1.5 40 "EXP" 0.1 85 375 "LIN" FALSE ""
1.5 20 "LIN" 0.1 77 376 "LIN" FALSE ""
2.5 80 "EXP" 0.1 60 377 "LIN" FALSE ""
1.5 200 "EXP" 0.1 8 378 "LIN" FALSE ""
