"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
2 200 "EXP" 0 29 188 "EXP" FALSE ""
0.9 60 "EXP" 0 95 189 "EXP" FALSE ""
2.5 100 "LIN" 0.2 71 190 "LIN" FALSE ""
0.5 40 "EXP" 0.2 31 191 "EXP" FALSE ""
0.1 20 "LIN" 0.1 44 192 "LIN" FALSE ""
0.1 200 "EXP" 0.1 44 193 "EXP" FALSE ""
1.3 100 "LIN" 0 52 194 "LIN" FALSE ""
0.5 20 "EXP" 0.1 44 195 "EXP" FALSE ""
1.5 60 "EXP" 0.2 12 196 "EXP" FALSE ""
1.5 60 "LIN" 0.2 14 197 "LIN" FALSE ""
0.1 80 "EXP" 0.2 15 198 "EXP" FALSE ""
1.3 100 "LIN" 0.1 5 199 "LIN" FALSE ""
1.3 40 "EXP" 0 26 200 "EXP" FALSE ""
2.5 200 "EXP" 0 19 201 "LIN" FALSE ""
2 200 "LIN" 0 10 202 "LIN" FALSE ""
1.3 80 "EXP" 0.1 81 203 "EXP" FALSE ""
0.1 200 "LIN" 0.1 70 204 "LIN" FALSE ""
1.3 100 "LIN" 0 8 205 "EXP" FALSE ""
2 80 "LIN" 0.1 6 206 "LIN" FALSE ""
1.5 200 "LIN" 0 38 207 "LIN" FALSE ""
0.9 40 "LIN" 0 92 208 "LIN" FALSE ""
2 40 "LIN" 0.2 98 209 "LIN" FALSE ""
0.9 200 "LIN" 0 45 210 "LIN" FALSE ""
0.5 80 "EXP" 0.2 78 211 "EXP" FALSE ""
0.5 20 "EXP" 0.1 94 212 "EXP" FALSE ""
2.5 100 "LIN" 0 76 213 "LIN" FALSE ""
1.5 200 "EXP" 0.2 33 214 "EXP" FALSE ""
2.5 80 "EXP" 0 53 215 "EXP" FALSE ""
0.5 60 "EXP" 0.2 73 216 "EXP" FALSE ""
1.3 20 "EXP" 0 54 217 "LIN" FALSE ""
0.9 80 "LIN" 0.1 15 218 "LIN" FALSE ""
0.1 80 "EXP" 0.2 92 219 "EXP" FALSE ""
0.9 40 "LIN" 0 59 220 "LIN" FALSE ""
0.1 80 "LIN" 0 34 221 "LIN" FALSE ""
2 80 "EXP" 0.2 71 222 "LIN" FALSE ""
1.5 100 "LIN" 0.1 83 223 "LIN" FALSE ""
0.9 40 "LIN" 0.2 56 224 "LIN" FALSE ""
0.9 20 "LIN" 0.2 36 225 "LIN" FALSE ""
2.5 20 "EXP" 0.1 63 226 "LIN" FALSE ""
1.3 40 "LIN" 0.1 41 227 "LIN" FALSE ""
2 20 "LIN" 0.1 53 228 "LIN" FALSE ""
0.5 100 "EXP" 0.1 86 229 "EXP" FALSE ""
0.5 80 "LIN" 0.2 74 230 "LIN" FALSE ""
1.5 80 "LIN" 0.2 21 231 "LIN" FALSE ""
0.1 200 "EXP" 0.2 19 232 "EXP" FALSE ""
0.5 200 "EXP" 0 92 233 "EXP" FALSE ""
0.1 80 "EXP" 0.2 4 234 "EXP" FALSE ""
0.1 60 "LIN" 0.2 17 235 "EXP" FALSE ""
1.3 100 "LIN" 0 84 236 "LIN" FALSE ""
0.1 20 "LIN" 0.1 57 237 "LIN" FALSE ""
2.5 80 "EXP" 0.1 39 238 "LIN" FALSE ""
0.9 20 "LIN" 0 58 239 "LIN" FALSE ""
0.1 200 "EXP" 0.1 82 240 "EXP" FALSE ""
0.5 200 "LIN" 0.2 7 241 "LIN" FALSE ""
1.3 80 "EXP" 0.2 9 242 "LIN" FALSE ""
1.3 100 "EXP" 0 68 243 "EXP" FALSE ""
1.3 60 "LIN" 0.2 58 244 "LIN" FALSE ""
0.5 100 "EXP" 0.2 27 245 "EXP" FALSE ""
1.3 20 "LIN" 0 51 246 "LIN" FALSE ""
2 20 "EXP" 0 99 247 "EXP" FALSE ""
0.5 100 "EXP" 0.1 82 248 "EXP" FALSE ""
2 100 "LIN" 0 29 249 "EXP" FALSE ""
1.5 60 "LIN" 0.1 87 250 "EXP" FALSE ""
0.1 60 "LIN" 0 48 251 "LIN" FALSE ""
0.1 40 "LIN" 0 24 252 "LIN" FALSE ""
1.3 80 "LIN" 0.2 86 253 "LIN" FALSE ""
0.1 80 "EXP" 0.2 59 254 "EXP" FALSE ""
2 60 "EXP" 0.2 55 255 "LIN" FALSE ""
1.3 20 "LIN" 0.2 31 256 "LIN" FALSE ""
1.3 80 "LIN" 0.1 99 257 "LIN" FALSE ""
1.5 200 "EXP" 0.1 79 258 "EXP" FALSE ""
1.5 40 "LIN" 0 58 259 "LIN" FALSE ""
2.5 40 "EXP" 0.1 21 260 "LIN" FALSE ""
0.5 20 "LIN" 0.1 87 261 "LIN" FALSE ""
0.1 100 "LIN" 0 28 262 "LIN" FALSE ""
2.5 100 "LIN" 0.1 47 263 "LIN" FALSE ""
1.3 40 "LIN" 0 30 264 "LIN" FALSE ""
0.9 40 "LIN" 0.2 40 265 "LIN" FALSE ""
0.9 200 "EXP" 0.1 36 266 "EXP" FALSE ""
0.1 20 "LIN" 0.2 42 267 "LIN" FALSE ""
0.9 60 "LIN" 0.1 58 268 "LIN" FALSE ""
0.5 100 "LIN" 0.2 36 269 "LIN" FALSE ""
0.1 20 "LIN" 0.1 66 270 "LIN" FALSE ""
1.5 100 "LIN" 0.1 3 271 "LIN" FALSE ""
2 100 "EXP" 0.1 10 272 "LIN" FALSE ""
1.5 40 "LIN" 0.2 16 273 "LIN" FALSE ""
1.3 100 "EXP" 0.2 70 274 "LIN" FALSE ""
0.5 200 "LIN" 0.2 97 275 "LIN" FALSE ""
0.5 60 "LIN" 0 22 276 "LIN" FALSE ""
2.5 100 "EXP" 0.2 86 277 "EXP" FALSE ""
2 100 "LIN" 0.2 16 278 "LIN" FALSE ""
2.5 60 "EXP" 0.2 82 279 "EXP" FALSE ""
2 200 "LIN" 0.1 94 280 "LIN" FALSE ""
2.5 80 "LIN" 0.1 10 281 "LIN" FALSE ""
2.5 20 "EXP" 0.1 51 282 "LIN" FALSE ""
1.3 80 "LIN" 0.2 41 283 "LIN" FALSE ""
0.9 200 "EXP" 0.2 77 284 "EXP" FALSE ""
2 20 "LIN" 0.2 77 285 "LIN" FALSE ""
0.9 60 "EXP" 0 16 286 "EXP" FALSE ""
0.1 200 "LIN" 0.2 29 287 "LIN" FALSE ""
1.5 200 "EXP" 0.1 77 288 "EXP" FALSE ""
0.1 40 "EXP" 0 34 289 "EXP" FALSE ""
2.5 40 "EXP" 0.2 19 290 "EXP" FALSE ""
2.5 100 "LIN" 0.1 42 291 "LIN" FALSE ""
0.9 20 "EXP" 0.1 85 292 "LIN" FALSE ""
2.5 20 "EXP" 0.2 91 293 "LIN" FALSE ""
2 20 "EXP" 0.2 51 294 "EXP" FALSE ""
1.5 80 "LIN" 0.2 41 295 "LIN" FALSE ""
2.5 80 "LIN" 0.1 24 296 "LIN" FALSE ""
2 40 "LIN" 0 24 297 "LIN" FALSE ""
1.5 20 "EXP" 0 64 298 "LIN" FALSE ""
1.5 200 "EXP" 0.2 70 299 "EXP" FALSE ""
1.3 40 "EXP" 0.1 97 300 "LIN" FALSE ""
0.1 100 "EXP" 0.2 64 301 "EXP" FALSE ""
0.9 60 "LIN" 0 77 302 "LIN" FALSE ""
2.5 60 "LIN" 0.1 37 303 "LIN" FALSE ""
2.5 200 "LIN" 0.1 39 304 "LIN" FALSE ""
0.9 20 "LIN" 0.1 6 305 "LIN" FALSE ""
0.5 80 "EXP" 0.1 15 306 "EXP" FALSE ""
1.5 20 "EXP" 0.2 31 307 "LIN" FALSE ""
